Fold,Accuracy,Precision,Recall,F1-Score,PR-AUC,CI Lower,CI Upper
1,0.9911242603550295,1.0,0.9411764705882353,0.9696969696969697,0.9852186074466349,0.9507079102455269,1.0
2,0.9792207792207792,0.875,0.98,0.9245283018867925,0.9472330371451193,0.8701549861857278,0.9926692619848729
3,0.986013986013986,1.0,0.8823529411764706,0.9375,0.9928109464483502,0.9760188088528033,1.0
4,0.9935483870967742,1.0,0.9545454545454546,0.9767441860465116,0.9742857142857144,0.900278293135436,1.0
5,0.9692982456140351,0.9393939393939394,0.8611111111111112,0.8985507246376812,0.8740480585878512,0.7200707682996172,0.9884286234887533
6,0.9854651162790697,0.9607843137254902,0.9423076923076923,0.9514563106796117,0.9873775875708866,0.9628870844444075,1.0
7,0.9523809523809523,0.8541666666666666,0.8723404255319149,0.8631578947368421,0.9214549481101133,0.8541942481627383,0.9724924138368516
8,0.9890510948905109,0.9523809523809523,0.975609756097561,0.963855421686747,0.9371032905127932,0.8157378288877005,1.0
9,0.9682539682539683,0.868421052631579,0.9705882352941176,0.9166666666666666,0.9569939551140251,0.8570372714302572,1.0
10,0.9863636363636363,0.9811320754716981,0.9122807017543859,0.9454545454545454,0.9795435564330044,0.9544180802643153,0.9963345864661656
