family,n_train,n_test,train_neg,train_pos,test_neg,test_pos,accuracy,precision,recall,f1,pr_auc,ci_lower,ci_upper
Dicroglossidae,2877,35,2458,419,30,5,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
Phyllomedusidae,2871,41,2454,417,34,7,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
Myobatrachidae,2898,14,2478,420,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ranidae,1976,936,1684,292,804,132,0.9839743589743589,0.968,0.9166666666666666,0.9416342412451362,0.9768200468682398,0.9572213995523821,0.9928586616792004
Bombinatoridae,2116,796,1786,330,702,94,0.9849246231155779,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9559764770548483,0.9114447678102433,0.9886075889325627
Leptodactylidae,2837,75,2428,409,60,15,0.9066666666666666,1.0,0.5333333333333333,0.6956521739130435,0.9528571428571428,0.8382246376811595,1.0
Hylidae,2170,742,1868,302,620,122,0.9609164420485176,0.9345794392523364,0.819672131147541,0.8733624454148472,0.9407979815540126,0.9079983614739275,0.968128667964816
Hyperoliidae,2877,35,2458,419,30,5,0.9428571428571428,0.8,0.8,0.8,0.9380952380952381,0.6444444444444445,1.0
Pelodryadidae,2821,91,2422,399,66,25,0.978021978021978,0.9259259259259259,1.0,0.9615384615384616,0.7572062655540917,0.6131907308377896,1.0
Pipidae,2773,139,2363,410,125,14,0.9424460431654677,1.0,0.42857142857142855,0.6,0.6524568343533861,0.404288240495137,0.8610792192881745
Rhacophoridae,2904,8,2481,423,7,1,0.875,0.0,0.0,0.0,0.1,0.07142857142857142,0.3333333333333333
